"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Balanced Quadrature Coupler Featuring Switchable Coupling Paths and Tunable Power-Dividing Ratio","Y. Zhang; X. Tan","School of Science, Qingdao University of Technology, Qingdao, China; College of Electronic and Information Engineering, Shandong University of Science and Technology, Qingdao, China",IEEE Transactions on Microwave Theory and Techniques,"11 Feb 2026","2026","74","2","1353","1363","This work proposes, for the first time, a planar multifunctional reconfigurable balanced quadrature coupler capable of both coupling-path switching and power-dividing ratio tuning. To realize these functions, a novel tunable unit replaces the conventional  $\lambda $ /4 transmission line, enabling coupling-path reconfiguration and mode-dependent power-dividing ratio control. Closed-form design equations are developed to guide the synthesis. A 2.0-GHz prototype is designed, fabricated, and measured for validation. Measurement results verify that the proposed coupler supports reconfigurable operation between forward coupling (FWCP) and backward coupling (BWCP) paths. In the FWCP mode, the power-dividing ratio can be tuned from –5.8 to 6.0 dB, with the differential-mode (DM) return loss and isolation exceeding 17 and 16.7 dB, respectively. In the BWCP mode, a tuning range of –6.4 to 5.6 dB is achieved, while maintaining DM return loss and isolation greater than 16 and 16.6 dB, respectively, throughout the tuning process. The simulated and measured results show good agreement. Moreover, across all configurations, the coupler exhibits stable DM characteristics, high common-mode (CM) suppression, and low cross-mode conversion.","1557-9670","","10.1109/TMTT.2025.3635163","National Natural Science Foundation of China(grant numbers:62201324); Natural Science Foundation of Shandong Province(grant numbers:ZR2022QA101,ZR2022QF065); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11269748","Balanced;coupling-path switchable;power-dividing ratio tunable;quadrature coupler","Couplers;Power transmission lines;Couplings;Switches;Tuning;Transmission line measurements;Transmission line matrix methods;Scattering;Impedance;Transceivers","","","","32","IEEE","26 Nov 2025","Feb. 2026","","IEEE","IEEE Journals"
"45–100-GHz UWB and W-Band High-Efficiency SiGe Power Amplifiers With 20-/20.1-dBm Psat and 17.3%/22.4% Peak PAE","Z. Wang; J. Chen; P. Zhou; R. Zhou; D. Tang; S. -Y. Tang; Z. Li; Q. Meng; W. Hong","State Key Laboratory of Millimeter Waves, School of Information Science and Engineering, Southeast University, Nanjing, China; State Key Laboratory of Millimeter Waves, School of Information Science and Engineering, Southeast University, Nanjing, China; State Key Laboratory of Millimeter Waves, School of Information Science and Engineering, Southeast University, Nanjing, China; State Key Laboratory of Millimeter Waves, School of Information Science and Engineering, Southeast University, Nanjing, China; State Key Laboratory of Millimeter Waves, School of Information Science and Engineering, Southeast University, Nanjing, China; State Key Laboratory of Millimeter Waves, School of Information Science and Engineering, Southeast University, Nanjing, China; State Key Laboratory of Millimeter Waves, School of Information Science and Engineering, Southeast University, Nanjing, China; State Key Laboratory of Millimeter Waves, School of Information Science and Engineering, Southeast University, Nanjing, China; State Key Laboratory of Millimeter Waves, School of Information Science and Engineering, Southeast University, Nanjing, China",IEEE Transactions on Microwave Theory and Techniques,"11 Feb 2026","2026","74","2","1518","1532","This article presents two stability- and linearity-enhanced power amplifiers (PAs) in a 0.13- $\mu $ m SiGe BiCMOS technology. The ultrawideband (UWB) PA comprises four differential cascode (CC) stages with a two-way differential power combining architecture at the last stage. The W-band PA originates from the last two stages of UWB PA and aims for higher power-added efficiency (PAE). A metal–oxide–metal (MOM) capacitor-based stability-enhancement technique and an adaptive-bias circuit are proposed to improve the stability and linearity of the two PAs, respectively. A compact power splitter is utilized between the last two stages to reduce the chip area. The UWB PA achieves a measured 3-dB gain bandwidth (BW) from 45 to 100 GHz with a peak gain of 30.6 dB at 94 GHz. The 3-dB saturated output power ( $P_{\mathrm {sat}}$ ) BW ranges from 62 to 100 GHz with a peak  $P_{\mathrm {sat}}$  of 20 dBm and a peak PAE of 17.3% at 92 GHz. The peak output-referred 1-dB compression point (OP ${}_{\mathbf {1 dB}}$ ) is 16.5 dBm at 92 GHz. The W-band PA achieves a measured 3-dB gain BW from 80 to 97 GHz with a peak gain of 21.4 dB at 90 GHz. The 3-dB  $P_{\mathrm {sat}}$  BW is from 76 to 100 GHz with a peak  $P_{\mathrm {sat}}$  of 20.1 dBm and a peak PAE of 22.4% at 94 GHz. The peak OP ${}_{\mathbf {1 dB}}$  is 16.7 dBm at 96 GHz. In addition, modulation measurements show that both the UWB and W-band PAs support 18–Gb/s 64-quadrature-amplitude modulation (QAM) at 94 GHz with error-vector magnitudes (EVMs) of −27.3 and −29.6 dB, respectively.","1557-9670","","10.1109/TMTT.2025.3629872","Guangdong S&T Program(grant numbers:2024B0101020001); Major Project of Jiangsu Province(grant numbers:BG2024034); National Natural Science Foundation of China(grant numbers:62188102); Youth Talent Promotion Foundation of Jiangsu Science and Technology Association(grant numbers:JSTJ-2025-282); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11268368","Adaptive bias;dual-LC tank;linearity;power amplifier (PA);power combining;SiGe;stability;ultrawideband (UWB);W-band","Transistors;Resistors;Power amplifiers;Circuit stability;Voltage;Radio frequency;Linearity;Wideband;Power generation;Method of moments","","","","44","IEEE","25 Nov 2025","Feb. 2026","","IEEE","IEEE Journals"
"A Hybrid-Biased Dual-Band GaN MMIC Doherty Power Amplifier for 6G FR3","R. Liu; H. Jia; Q. Wu; J. Xia; A. Zhu","School of Electrical and Electronic Engineering, University College Dublin, Dublin, Ireland; School of Electrical and Electronic Engineering, University College Dublin, Dublin, Ireland; School of Electrical and Electronic Engineering, University College Dublin, Dublin, Ireland; School of Computer Science and Communication Engineering, Jiangsu University, Zhenjiang, China; School of Electrical and Electronic Engineering, University College Dublin, Dublin, Ireland",IEEE Transactions on Microwave Theory and Techniques,"11 Feb 2026","2026","74","2","1507","1517","This article presents a novel dual-band gallium nitride (GaN) monolithic microwave integrated circuit (MMIC) Doherty power amplifier (DPA) employing a hybrid-biased carrier amplifier for 6G frequency range 3 (FR3) multiband applications. To overcome the bandwidth limitations imposed by the steep periodic phase requirements of the  $\lambda /4$  impedance inverter in conventional constant-voltage (CV)-biased dual-band DPAs, a hybrid-biasing architecture is proposed, where the carrier amplifier operates with a gate bias voltage of  $V_{G1}$  under constant-current (CC) biasing in the lower band to enable reverse load modulation, and with a gate bias voltage of  $V_{G2}$  under CV biasing in the upper band to enable regular load modulation, while the peaking amplifier remains CV-biased across both bands. To validate the concept, a dual-band GaN MMIC DPA covering 10.5–12.5 GHz and 14–16 GHz was implemented in a 120-nm GaN high-electron-mobility transistor (HEMT) process. Measured results demonstrate a saturated output power of 34.5–36.1 dBm with a drain efficiency (DE) of 43.8%–48.9%. At 6-dB output-power back-off (PBO), the DE remains 32.6%–40% from 10.5 to 12.5 GHz and 30.8%–36.5% from 14 to 16 GHz. When excited with a 200-MHz 256-QAM 5G new radio (NR) modulated signal, the amplifier achieves less than 1.3% of error vector magnitude (EVM) after using digital predistortion (DPD).","1557-9670","","10.1109/TMTT.2025.3634158","Taighde Éireann—Research Ireland through CONNECT: the Research Ireland Centre for Future Networks(grant numbers:13/RC/2077_P2); National Natural Science Foundation of China(grant numbers:62171204); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11268299","Doherty power amplifier (DPA);dual-band;gallium nitride (GaN);monolithic microwave integrated circuit (MMIC);6G frequency range 3 (FR3)","Dual band;Impedance;Transistors;Bandwidth;Gallium nitride;Inverters;Power amplifiers;Frequency modulation;6G mobile communication;Phase modulation","","","","29","CCBY","25 Nov 2025","Feb. 2026","","IEEE","IEEE Journals"
"Direct Synthesis of Characteristic Polynomials and Practical Topologies for Codesigned Filters With Independent Subband Responses","Y. He; L. Xiao; C. Wei; X. Zou; L. Yan; G. Macchiarella","School of Information Science and Technology (SIST), Southwest Jiaotong University, Chengdu, China; School of Information Science and Technology (SIST), Southwest Jiaotong University, Chengdu, China; Tech X Academy, Shenzhen Polytechnic University, Shenzhen, China; School of Information Science and Technology (SIST), Southwest Jiaotong University, Chengdu, China; School of Information Science and Technology (SIST), Southwest Jiaotong University, Chengdu, China; Dipartimento di Elettronica, Informazione e Bioingegneria, Milan, Italy",IEEE Transactions on Microwave Theory and Techniques,"27 Jan 2026","2026","74","1","407","420","This work presents a direct synthesis methodology for realizing codesigned filters that integrate low-pass/multi bandpass or high-pass/multi bandpass responses within a unified network. The proposed approach enables independent control over each subband—such as order, bandwidth, and return loss—while supporting flexible placement of transmission zeros (TZs) for enhanced out-of-band selectivity. The synthesis is built upon a new class of characteristic polynomials defined in the nonnormalized  $\omega $ -domain, which intrinsically realizes composite low-pass and multi bandpass filtering behavior without requiring frequency transformation. These polynomials are then mapped to a transversal prototype comprising low-pass and bandpass blocks, which can be corresponded to a high-pass/multi bandpass form via  $\omega $ -to-1/ $\omega $  inversion. The obtained transversal networks are then simplified into practical topologies through matrix-based manipulations. A series of examples, including synthesis and experimental validations, confirms the effectiveness and flexibility of the method. The proposed technique establishes a legitimate approach toward the integration of complex codesigned filtering functions based on simple resonator and coupling models.","1557-9670","","10.1109/TMTT.2025.3634371","Sichuan Science and Technology Program(grant numbers:2024NSFSC1422); Fundamental Research Funds for the Central Universities(grant numbers:2682025ZTPY003); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11268320","Codesigned filters;filter synthesis;matrix transformation;multifunctional;transversal network","Polynomials;Filters;Topology;Resonant frequency;Prototypes;Frequency-domain analysis;Frequency synthesizers;Reflection;Filtering theory;Symbols","","","","29","IEEE","25 Nov 2025","Jan. 2026","","IEEE","IEEE Journals"
"Design and Test of a Photonic-Assisted Ultrawideband Receiver Based on Optical Subsampling","L. Huang; Q. Zhou; L. Zhao; X. Zhang; W. Kong; H. Zhao; Z. Zhang; J. Zhang; W. Xiao; X. Zheng; J. Zhang; T. Jiang","Academy of Military Sciences, National Innovation Institute of Defense Technology, Beijing, China; Academy of Military Sciences, National Innovation Institute of Defense Technology, Beijing, China; Academy of Military Sciences, National Innovation Institute of Defense Technology, Beijing, China; Academy of Military Sciences, National Innovation Institute of Defense Technology, Beijing, China; Academy of Military Sciences, National Innovation Institute of Defense Technology, Beijing, China; Academy of Military Sciences, National Innovation Institute of Defense Technology, Beijing, China; Academy of Military Sciences, National Innovation Institute of Defense Technology, Beijing, China; Academy of Military Sciences, National Innovation Institute of Defense Technology, Beijing, China; Academy of Military Sciences, National Innovation Institute of Defense Technology, Beijing, China; Academy of Military Sciences, National Innovation Institute of Defense Technology, Beijing, China; Academy of Military Sciences, National Innovation Institute of Defense Technology, Beijing, China; Institute for Quantum Information Science and Technology, College of Science, the College of Advanced Interdisciplinary Studies, and Hunan Research Center of the Basic Discipline for Physical States, National University of Defense Technology, Changsha, China",IEEE Transactions on Microwave Theory and Techniques,"11 Feb 2026","2026","74","2","1841","1851","This article presents a photonic-assisted ultrawideband receiver architecture based on dual-parallel optical subsampling using two mode-locked lasers (MLLs) with distinct repetition rates. The proposed architecture resolves frequency ambiguity and suppresses aliasing without requiring a third optical link, thereby significantly reducing system complexity, size, weight, and power (SWaP). Carrier-suppressed single-sideband (CS-SSB) modulation is implemented using a dual-parallel Mach-Zehnder modulator (DP-MZM), while balanced coherent detection enhances noise suppression. Compared to conventional double-sideband (DSB) schemes, the system achieves a twofold increase in instantaneous processing bandwidth. Simulation and experiments demonstrate frequency measurement errors below 3 MHz across the 2–18-GHz band, with a measured spurious-free dynamic range (SFDR) of 107 dB $\cdot $ Hz ${}^{{2}/{3}}$ . Fabricated in a 130-nm silicon photonics process, the receiver provides a compact, low-SWaP, and stable solution for wideband electronic reconnaissance.","1557-9670","","10.1109/TMTT.2025.3634745","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11268491","Carrier-suppressed single sideband (CS-SSB);electronic warfare (EW);optical frequency combs;optical subsampling;photon-assisted receiver;spurious-free dynamic range (SFDR)","Optical pulses;Optical receivers;Optical modulation;Optical filters;Optical device fabrication;Optical mixing;Optical fiber communication;Receivers;Frequency modulation;Optical amplifiers","","","","31","IEEE","25 Nov 2025","Feb. 2026","","IEEE","IEEE Journals"
"Low-Profile Dual-Polarization Angular Selective Surfaces Based on Multidomain Equivalent Circuit Modeling and Analysis","M. Yan; X. Xiu; J. Liu; J. Wang; Y. Han; W. Che","Guangdong Provincial Key Laboratory of Millimeter-Wave and Terahertz, Guangdong-Hong Kong-Macao Joint Laboratory for Millimeter-Wave and Terahertz, School of Electronics and Information Engineering, South China University of Technology, Guangzhou, China; Guangdong Provincial Key Laboratory of Millimeter-Wave and Terahertz, Guangdong-Hong Kong-Macao Joint Laboratory for Millimeter-Wave and Terahertz, School of Electronics and Information Engineering, South China University of Technology, Guangzhou, China; School of Electronic Science and Engineering (School of Microelectronics), South China Normal University, Foshan, China; Guangdong Provincial Key Laboratory of Millimeter-Wave and Terahertz, Guangdong-Hong Kong-Macao Joint Laboratory for Millimeter-Wave and Terahertz, School of Electronics and Information Engineering, South China University of Technology, Guangzhou, China; School of Electronic and Optical Engineering, Nanjing University of Posts and Telecommunications, Nanjing, China; Guangdong Provincial Key Laboratory of Millimeter-Wave and Terahertz, Guangdong-Hong Kong-Macao Joint Laboratory for Millimeter-Wave and Terahertz, School of Electronics and Information Engineering, South China University of Technology, Guangzhou, China",IEEE Transactions on Microwave Theory and Techniques,"11 Feb 2026","2026","74","2","1728","1739","This work presents a low-profile, dual-polarization angular-selective surface (ASS) with high angular selectivity. A new multidomain equivalent circuit modeling (ECM) method that incorporates frequency, angle, and polarization is proposed to assist the ASS design. First, based on this method, the angular sensitivity of periodic metallic grid is used to achieve angular selectivity in TE-polarization. Second, the periodically arranged electric and magnetic resonators are implemented to realize TM-polarization angular selectivity. Finally, benefiting from the polarization decoupling exhibited in both single-polarization ASSs, characterized by small impact on orthogonal polarization transmission, a co-design strategy enables dual-polarization operation accordingly. For demonstration, a prototype of the dual-polarization ASS working within 5.0–5.2 GHz is fabricated and measured. Good agreement between the experimental results with simulations is observed, both indicating that the proposed ASS exhibits good angular selectivity with an ultralow profile of  $0.04\lambda 0$ .","1557-9670","","10.1109/TMTT.2025.3632225","National Natural Science Foundation of China(grant numbers:62201215,62321002,62431010); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11268890","Angular selective surface (ASS);dual-polarization;equivalent circuit;high-selectivity;low profile;spatial angular filter","Integrated circuit modeling;Resonant frequency;Equivalent circuits;Resonators;Metals;Optical surface waves;Surface waves;Strips;Microwave filters;Filtering","","","","33","IEEE","25 Nov 2025","Feb. 2026","","IEEE","IEEE Journals"
"A Novel Differential Incoherent Heterodyne Continuous-Wave Radar Receiver Architecture With Increased Phase Sensitivity","N. C. Albrecht; P. Riege; B. Tegowski; D. Langer; A. Koelpin","Institute of High-Frequency Technology, Hamburg University of Technology, Hamburg, Germany; Institute of High-Frequency Technology, Hamburg University of Technology, Hamburg, Germany; Institute of High-Frequency Technology, Hamburg University of Technology, Hamburg, Germany; Institute of High-Frequency Technology, Hamburg University of Technology, Hamburg, Germany; Institute of High-Frequency Technology, Hamburg University of Technology, Hamburg, Germany",IEEE Transactions on Microwave Theory and Techniques,"11 Feb 2026","2026","74","2","1903","1916","This work presents a novel heterodyne radar transceiver architecture based on two separate, incoherent radio frequency (RF) sources. Unlike conventional continuous-wave (CW) radar systems, the proposed approach measures the square of the channel transfer function, resulting in doubled phase sensitivity. This enhancement arises from a differential evaluation of the downconverted intermediate-frequency (IF) signals, which enables precise tracking of phase changes without requiring phase-locked local oscillators. The associated signal-processing and calibration methods are derived, allowing for accurate reconstruction of the dynamic target response, even in the presence of static reflections and without needing knowledge of the calibration target’s absolute position. Additionally, the effect of oscillator phase noise is evaluated. Experimental validation using high-precision linear motion confirms that the system accurately tracks target displacement and delivers results comparable to those obtained with a commercial vector network analyzer (VNA). By eliminating the need for RF phase synchronization between transceivers, the architecture significantly reduces hardware complexity and is well-suited for integration and miniaturization. Although demonstrated with a single transceiver pair, the method scales naturally to multichannel configurations, enabling low-complexity multiple-input–multiple-output (MIMO) radar systems with enhanced sensitivity.","1557-9670","","10.1109/TMTT.2025.3633498","Deutsche Forschungsgemeinschaft (DFG, German Research Foundation)-SFB 1483, EmpkinS(grant numbers:442419336); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11268534","Continuous-wave (CW) radar;incoherent radar;interferometric radar;radar;radar modeling;signal processing","Radar;Transceivers;Radio frequency;Sensitivity;Hardware;Radar tracking;Radar signal processing;Phase measurement;Coherence;Transmitting antennas","","","","28","CCBY","25 Nov 2025","Feb. 2026","","IEEE","IEEE Journals"
"A 4 K 0.7 mW 9.1–14 GHz Low-Noise Amplifier With Cryogenic Numerical Noise Analysis","T. -S. Yang; L. -H. Lu","Department of Electrical Engineering and the Graduate Institute of Electronics Engineering, National Taiwan University, Taipei, Taiwan; Department of Electrical Engineering and the Graduate Institute of Electronics Engineering, National Taiwan University, Taipei, Taiwan",IEEE Transactions on Microwave Theory and Techniques,"11 Feb 2026","2026","74","2","1470","1481","This article presents a 0.7 mW, 9.1–14 GHz low-noise amplifier (LNA) designed for quantum applications and characterized at both room temperature (300 K) and cryogenic temperature (4 K). By performing numerical analysis, the temperature coefficients of the dominant noise mechanisms from 300 to 4 K are extracted. Furthermore, a practical methodology is proposed for simulating cryogenic RF performance without requiring an accurate cryogenic process design kit (PDK). By modifying the electromagnetic (EM) substrate model and adjusting the simulation temperature to 200 K, the simulated S-parameters and power consumption closely match the measured results at 4 K. Fabricated in 90-nm complimentary metal–oxide–semiconductor (CMOS), the stacked inverter–common-source LNA consumes 0.7 mW at 4 K and achieves 15.5 dB gain with a 9.1–14 GHz bandwidth and 0.9 dB minimum noise figure (NF). The measured noise is reduced by a factor of 5.72 at 12 GHz and 3.68 at 9 GHz when cooled from 300 to 4 K, and a temperature coefficient of 3.33 is extracted for induced channel noise.","1557-9670","","10.1109/TMTT.2025.3635009","Ministry of Science and Technology(grant numbers:MOST 112-2119-M-002-015); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11268381","Complimentary metal–oxide–semiconductor (CMOS);cryogenic;electromagnetic (EM) substrate;inverter-based;low supply voltage;low-noise amplifier (LNA);numerical analysis;quantum computing;sub-mW","Cryogenics;Noise;Power demand;Substrates;Conductivity;Scattering parameters;Inductors;Accuracy;Radio frequency;Qubit","","","","45","IEEE","25 Nov 2025","Feb. 2026","","IEEE","IEEE Journals"
"An Area-Efficient Integrated RF Reflectometer Based on Low-Power Logarithmic Power Detector","T. -L. Hsu; V. Solomko; A. Hagelauer","Chair of Micro and Nanosystems Technology, Technical University of Munich, Garching bei München, Germany; Infineon Technologies AG, Neubiberg, Germany; Chair of Micro and Nanosystems Technology, Technical University of Munich, Garching bei München, Germany",IEEE Transactions on Microwave Theory and Techniques,"11 Feb 2026","2026","74","2","1495","1506","In this article, an area-efficient radio frequency (RF) scalar reflectometer is presented. Coupled incident and reflected power waves are detected with a low-power logarithmic detector without utilizing active RF amplifiers. The differential output voltage of the power detector (PD) is converted to a digital code, which is proportional to the return loss in decibels. A current-mode successive approximation register (SAR) analog-to-digital converter (ADC) with a reference digital-to-analog converter modulated with digital-to-time conversion is adopted to minimize the area of the readout circuitry while maintaining a high linearity. The device is implemented in a 90-nm RF silicon-on-insulator (SOI) complementary metal–oxide–semiconductor (CMOS) technology, occupying a core area of  ${0.37} \text {mm}^{2}$ . The implemented reflectometer demonstrates a measurement error of less than  ${2} \text {dB}$  for load points with return loss worse than  ${15} \text {dB}$  from  ${900} \text {MHz}$  to  ${2.5} \text {GHz}$ . The implemented reflectometer consumes a dc current of  ${190} \text {$\mu ${A}}$  from a 1.8 V supply during detection.","1557-9670","","10.1109/TMTT.2025.3634520","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11267483","Adaptive antenna tuning;directional coupler;radio frequency (RF) front end;reflectometer","Radio frequency;Impedance;Directional couplers;Voltage;Couplings;Dynamic range;Sensors;Linearity;Tuning;Registers","","","","33","CCBY","25 Nov 2025","Feb. 2026","","IEEE","IEEE Journals"
"A Millimeter-Wave On-Chip Thru-Only De-Embedding Method Leveraging 1D-CNNs and Physics-Based Vector Fitting","P. Zhou; G. Shen; W. Che","School of Electronic and Information Engineering, South China University of Technology, Guangzhou, China; School of Electronic and Information Engineering, South China University of Technology, Guangzhou, China; School of Electronic and Information Engineering, South China University of Technology, Guangzhou, China",IEEE Transactions on Microwave Theory and Techniques,"11 Feb 2026","2026","74","2","1620","1633","This article proposes a low-cost de-embedding method for millimeter-wave (mm-wave) on-chip applications. For conventional de-embedding methods, a trade-off between applicable frequencies and dummy quantity is needed. To address such constraints, a physics-based vector-fitting (VF) and convolutional neural network (CNN)-enabled Thru-only de-embedding method (PVCT de-embedding method) is proposed. By incorporating machine learning (ML), high de-embedding accuracy using only one dummy is obtained for this approach. The physics-based VF technique, which can accurately characterize high-frequency parasitic effects, is used to construct lumped equivalent circuits of the fixture and thru dummy. To better approximate real-world embedding scenarios, probe contact impedance is also incorporated using polynomial models. Benefiting from the non-EM equivalent models, a fast and physically meaningful dataset generation is carried out using Monte-Carlo analysis, which accounts for processing tolerances. 1D-CNNs implementing the curve-to-curve mapping concept are used to efficiently train a Thru-to-fixture prediction model. Once the fixture response is determined, cascade-based de-embedding can be performed. Simulation results obtained using three different fixtures validate the feasibility of the PVCT method, demonstrating excellent prediction accuracy with the coefficient of determination surpassing 0.99. Furthermore, a single-end inductor and a differential transformer, together with their de-embedding dummies, were fabricated and verified to demonstrate the effectiveness of the proposed de-embedding method up to 67 GHz (instrumental limitation).","1557-9670","","10.1109/TMTT.2025.3633638","Science Fund for Creative Research Groups of the National Natural Science Foundation of China(grant numbers:62321002); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11264822","De-embedding;machine learning (ML);millimeter-wave (mm-wave);on-chip;Thru-only;vector-fitting (VF)","Integrated circuit modeling;Fixtures;Fitting;Accuracy;Probes;Predictive models;Impedance;Equivalent circuits;Vectors;System-on-chip","","","","34","IEEE","24 Nov 2025","Feb. 2026","","IEEE","IEEE Journals"
"Robust and Adaptive DC Offset Calibration in Microwave Sensing Systems for Long-Term Microwave Cardiogram Detection","L. Wen; J. Cao; Y. Guo; Z. Zeng; Q. Cao; K. Chen; C. Gu","State Key Laboratory of Radio Frequency Heterogeneous Integration, Shanghai Jiao Tong University, Shanghai, China; State Key Laboratory of Radio Frequency Heterogeneous Integration, Shanghai Jiao Tong University, Shanghai, China; Department of Cardiovascular Medicine, Shanghai Sixth People’s Hospital, Shanghai Jiao Tong University School of Medicine, Shanghai, China; Department of Cardiovascular Medicine, Ruijin Hospital, Shanghai Jiao Tong University School of Medicine, Shanghai, China; Department of Cardiovascular Medicine, Ruijin Hospital, Shanghai Jiao Tong University School of Medicine, Shanghai, China; Department of Cardiovascular Medicine, Ruijin Hospital, Shanghai Jiao Tong University School of Medicine, Shanghai, China; State Key Laboratory of Radio Frequency Heterogeneous Integration, Shanghai Jiao Tong University, Shanghai, China",IEEE Transactions on Microwave Theory and Techniques,"11 Feb 2026","2026","74","2","1756","1769","In long-term clinical monitoring, random body movements or clutter from nearby objects introduce time-varying dc offsets in the microwave biomedical radar system. The conventional dc offset calibration methods based on least-square (LS) circle fitting are ineffective for weak cardiopulmonary motions with low signal-to-noise ratio (SNR). To address the challenge, this article proposes a novel dc offset calibration technique that enables joint circle fitting of multiple segmented radar signal traces under approximately uniform maximum amplitude modulation. The proposed technique preserves amplitude and phase relationships through geometric space transformation, adaptively processes noise via a dual-mode fitting mechanism for dc offset calibration, and enhances robustness by integrating Huber loss residual computation with threshold-based optimization and averaged positioning. Validated across simulations and experiments in both lab and clinical environments, the proposed technique reduces demodulation errors by 10– $1000\times $  (for a  $0.004\lambda $  displacement) compared to conventional LS single-segment circle fitting under comparable SNR conditions. It helps to tackle the imperfections of dc offsets in the microwave biomedical radar system, thus allowing microwave cardiogram-electrocardiogram feature alignment in arrhythmia patients and advancing radar-based long-term arrhythmia monitoring. The demonstrated mechanical-electrical correlation supports early risk prediction.","1557-9670","","10.1109/TMTT.2025.3629611","National Key Research and Development Program of China(grant numbers:2022ZD0160704); Shanghai Jiao Tong University Medical-Engineering Interdisciplinary Research Fund(grant numbers:YG2023QNA30); Shanghai Science and Technology Funds(grant numbers:24YL1900600); National Natural Science Foundation of China(grant numbers:62188102); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11264617","Arrhythmias;biomedical radar;circle fitting;dc offsets;microwave cardiogram (MCG)","Radar;Microwave theory and techniques;Fitting;Calibration;Sensors;Monitoring;Arrhythmia;Microwave circuits;Radar cross-sections;Microwave oscillators","","","","25","IEEE","24 Nov 2025","Feb. 2026","","IEEE","IEEE Journals"
"Single-Chain Six-Port Transceiver Front End With Dual-in-Band Full-Duplex Capability","R. Chen; M. Tu; G. Xu; W. -W. Choi; K. Wu; P. Cheong","Faculty of Science and Technology, University of Macau, Macau, SAR, China; Center for Intelligent Multidimensional Data Analysis (CIMDA) Ltd., Hong Kong, SAR, China; Faculty of Science and Technology, University of Macau, Macau, SAR, China; Faculty of Science and Technology, University of Macau, Macau, SAR, China; Department of Electrical Engineering, Ecole Polytechnique de Montreal, Poly-Grames Research Center, Montréal, QC, Canada; Faculty of Science and Technology, University of Macau, Macau, SAR, China",IEEE Transactions on Microwave Theory and Techniques,"11 Feb 2026","2026","74","2","2065","2075","The increasing demand for high-speed wireless communication necessitates front ends that combine high spectral efficiency with multiband operation. Integrating in-band full-duplex (IBFD) and carrier aggregation (CA) technologies becomes crucial but is hindered by the complexity and cost of duplicating transmit and receive chains across bands. In this work, we present a single-chain six-port transceiver architecture enabling dual-in-band full-duplex (DIBFD) operation to eliminate replicated chains. By leveraging the common-mode (CM) and differential-mode (DM) orthogonality between transmitted and received signals in intermediate-frequency (IF) spectra, the design dramatically simplifies hardware and reduces local oscillator requirements. Calibration algorithms, combined with digital self-interference (SI) cancellation, are deployed to optimize performance. Compared to traditional solutions, this architecture achieves wide bandwidth, strong SI suppression, and dual-band operation with lower complexity and cost. This approach paves the way for more efficient multiband, full-duplex wireless systems critical for meeting future data-intensive communication demands.","1557-9670","","10.1109/TMTT.2025.3633423","Science and Technology Development Fund(grant numbers:0047/2022/A,0150/2024/RIA2); University of Macau(grant numbers:MYRG-GRG2024-00254-FST); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11264856","Concurrent dual-band communication;in-band full-duplex communication;single-chain transceiver front end;six-port technology","Transceivers;Dual band;Computer architecture;Wireless communication;Full-duplex system;Bandwidth;Radio frequency;Interference cancellation;Circulators;Freeports","","","","29","IEEE","24 Nov 2025","Feb. 2026","","IEEE","IEEE Journals"
